
Strategy code:
	NIKKEI_S2_daily_longDiv
DataContract:
	Nikkei 225
Backtesting dates:
	12/03/2004 00:00:00 CEST- 08/09/2023 00:00:00 CEST
Indicator settings: 
	RSI: time-period: 14
	Long Divergence with minimum, maximum divergence periods: 1, 18
	Bollinger Bands: stDevUp, stDevDown, moving average time-period: (2.000000, 2.000000, 14)
Entry conditions: 
	Double divergence
Exit conditions:
	Opposite Long divergence
	Bollinger crossing with condition: Cross middle band in profit
	Trades closed after 18 bars if negative
	Fixed Take profit, stop loss: 4.000000, 3.000000

 STRATEGY REPORT:
Total positive trades: 20 (10715.070000 points); Total negative trades: 15 (-6446.240000 points);
 Net loss/profit: 4268.830000

 Trade no: 0; Direction: short; Entry date: 22/12/2005 00:00:00 CET; Entry closing price: 15862.370000; Exit date: 28/12/2005 23:00:00 CET; Exit closing price: 16372.160000; Loss/profit: -509.790000; Current p&l: -854.920000
 Trade no: 1; Direction: short; Entry date: 26/12/2005 23:00:00 CET; Entry closing price: 16027.030000; Exit date: 17/01/2006 23:00:00 CET; Exit closing price: 15286.520000; Loss/profit: 740.510000; Current p&l: 1287.170000
 Trade no: 2; Direction: short; Entry date: 15/01/2006 23:00:00 CET; Entry closing price: 16342.970000; Exit date: 17/01/2006 23:00:00 CET; Exit closing price: 15286.520000; Loss/profit: 1056.450000; Current p&l: 1287.170000
 Trade no: 3; Direction: short; Entry date: 30/01/2006 23:00:00 CET; Entry closing price: 16668.970000; Exit date: 12/02/2006 23:00:00 CET; Exit closing price: 15877.660000; Loss/profit: 791.310000; Current p&l: 2078.480000
 Trade no: 4; Direction: short; Entry date: 23/08/2006 00:00:00 CEST; Entry closing price: 16163.030000; Exit date: 31/08/2006 00:00:00 CEST; Exit closing price: 16140.760000; Loss/profit: 22.270000; Current p&l: 2100.750000
 Trade no: 5; Direction: short; Entry date: 27/10/2006 00:00:00 CEST; Entry closing price: 16669.070000; Exit date: 19/11/2006 23:00:00 CET; Exit closing price: 15725.940000; Loss/profit: 943.130000; Current p&l: 3043.880000
 Trade no: 6; Direction: long; Entry date: 21/11/2007 23:00:00 CET; Entry closing price: 14888.770000; Exit date: 28/11/2007 23:00:00 CET; Exit closing price: 15513.740000; Loss/profit: 624.970000; Current p&l: 3668.850000
 Trade no: 7; Direction: long; Entry date: 03/03/2008 23:00:00 CET; Entry closing price: 12992.280000; Exit date: 09/03/2008 23:00:00 CET; Exit closing price: 12532.130000; Loss/profit: -460.150000; Current p&l: 3208.700000
 Trade no: 8; Direction: short; Entry date: 20/05/2008 00:00:00 CEST; Entry closing price: 14160.090000; Exit date: 29/05/2008 00:00:00 CEST; Exit closing price: 14124.470000; Loss/profit: 35.620000; Current p&l: 3244.320000
 Trade no: 9; Direction: short; Entry date: 03/06/2008 00:00:00 CEST; Entry closing price: 14209.170000; Exit date: 11/06/2008 00:00:00 CEST; Exit closing price: 14183.480000; Loss/profit: 25.690000; Current p&l: 3267.910000
 Trade no: 10; Direction: short; Entry date: 09/06/2008 00:00:00 CEST; Entry closing price: 14181.380000; Exit date: 11/06/2008 00:00:00 CEST; Exit closing price: 14183.480000; Loss/profit: -2.100000; Current p&l: 3267.910000
