
 STRATEGY REPORT:
Total positive trades: 26 (7695.540000 points); Total negative trades: 30 (-7255.630000 points);
 Net loss/profit: 439.910000

 Trade no: 0; Direction: short; Entry date: 31/07/2006 00:00:00 CEST; Entry closing price: 5686.590000; Exit date: 16/08/2006 00:00:00 CEST; Exit closing price: 5833.990000; Loss/profit: -147.400000; Current p&l: -147.400000
 Trade no: 1; Direction: short; Entry date: 29/08/2006 00:00:00 CEST; Entry closing price: 5843.420000; Exit date: 25/09/2006 00:00:00 CEST; Exit closing price: 5923.260000; Loss/profit: -79.840000; Current p&l: -257.320000
 Trade no: 2; Direction: short; Entry date: 05/09/2006 00:00:00 CEST; Entry closing price: 5893.180000; Exit date: 02/10/2006 00:00:00 CEST; Exit closing price: 5987.600000; Loss/profit: -94.420000; Current p&l: -321.660000
 Trade no: 3; Direction: short; Entry date: 02/10/2006 00:00:00 CEST; Entry closing price: 5987.600000; Exit date: 12/10/2006 00:00:00 CEST; Exit closing price: 6177.440000; Loss/profit: -189.840000; Current p&l: -511.500000
 Trade no: 4; Direction: short; Entry date: 05/02/2007 00:00:00 CET; Entry closing price: 6881.230000; Exit date: 27/02/2007 00:00:00 CET; Exit closing price: 6646.550000; Loss/profit: 234.680000; Current p&l: -276.820000
 Trade no: 5; Direction: short; Entry date: 03/05/2007 00:00:00 CEST; Entry closing price: 7470.460000; Exit date: 22/05/2007 00:00:00 CEST; Exit closing price: 7663.490000; Loss/profit: -193.030000; Current p&l: -469.850000
 Trade no: 6; Direction: long; Entry date: 23/06/2008 00:00:00 CEST; Entry closing price: 6597.150000; Exit date: 27/06/2008 00:00:00 CEST; Exit closing price: 6163.540000; Loss/profit: -433.610000; Current p&l: -903.460000
 Trade no: 7; Direction: long; Entry date: 30/06/2008 00:00:00 CEST; Entry closing price: 6404.530000; Exit date: 11/07/2008 00:00:00 CEST; Exit closing price: 6149.860000; Loss/profit: -254.670000; Current p&l: -1158.130000
 Trade no: 8; Direction: long; Entry date: 16/09/2008 00:00:00 CEST; Entry closing price: 6015.690000; Exit date: 17/09/2008 00:00:00 CEST; Exit closing price: 5792.320000; Loss/profit: -223.370000; Current p&l: -1381.500000
 Trade no: 9; Direction: long; Entry date: 13/10/2008 00:00:00 CEST; Entry closing price: 5182.780000; Exit date: 15/10/2008 00:00:00 CEST; Exit closing price: 4745.370000; Loss/profit: -437.410000; Current p&l: -1818.910000
 Trade no: 10; Direction: long; Entry date: 24/02/2009 00:00:00 CET; Entry closing price: 3943.930000; Exit date: 27/02/2009 00:00:00 CET; Exit closing price: 3840.520000; Loss/profit: -103.410000; Current p&l: -1922.320000
