
 STRATEGY REPORT:
Total positive trades: 67 (12934.250000 points); Total negative trades: 56 (-8443.830000 points);
 Net loss/profit: 4490.420000

 Trade no: 0; Direction: short; Entry date: 11/09/2019 11:00:00 CEST; Entry closing price: 12357.840000; Exit date: 13/09/2019 12:00:00 CEST; Exit closing price: 12478.490000; Loss/profit: -120.650000; Current p&l: -260.550000
 Trade no: 1; Direction: short; Entry date: 12/09/2019 15:00:00 CEST; Entry closing price: 12338.590000; Exit date: 16/09/2019 16:00:00 CEST; Exit closing price: 12397.010000; Loss/profit: -58.420000; Current p&l: -179.070000
 Trade no: 2; Direction: short; Entry date: 01/10/2019 10:00:00 CEST; Entry closing price: 12429.710000; Exit date: 02/10/2019 13:00:00 CEST; Exit closing price: 12109.640000; Loss/profit: 320.070000; Current p&l: 141.000000
 Trade no: 3; Direction: short; Entry date: 15/10/2019 10:00:00 CEST; Entry closing price: 12520.190000; Exit date: 17/10/2019 11:00:00 CEST; Exit closing price: 12780.410000; Loss/profit: -260.220000; Current p&l: -269.840000
 Trade no: 4; Direction: short; Entry date: 15/10/2019 17:00:00 CEST; Entry closing price: 12629.790000; Exit date: 18/10/2019 09:00:00 CEST; Exit closing price: 12662.250000; Loss/profit: -32.460000; Current p&l: -151.680000
 Trade no: 5; Direction: short; Entry date: 21/10/2019 15:00:00 CEST; Entry closing price: 12752.800000; Exit date: 23/10/2019 16:00:00 CEST; Exit closing price: 12781.150000; Loss/profit: -28.350000; Current p&l: -179.860000
 Trade no: 6; Direction: short; Entry date: 22/10/2019 12:00:00 CEST; Entry closing price: 12781.320000; Exit date: 24/10/2019 13:00:00 CEST; Exit closing price: 12868.130000; Loss/profit: -86.810000; Current p&l: -263.030000
 Trade no: 7; Direction: short; Entry date: 24/10/2019 10:00:00 CEST; Entry closing price: 12871.940000; Exit date: 28/10/2019 11:00:00 CET; Exit closing price: 12933.580000; Loss/profit: -61.640000; Current p&l: -328.480000
 Trade no: 8; Direction: short; Entry date: 01/11/2019 15:00:00 CET; Entry closing price: 12974.200000; Exit date: 05/11/2019 16:00:00 CET; Exit closing price: 13131.570000; Loss/profit: -157.370000; Current p&l: -485.850000
 Trade no: 9; Direction: short; Entry date: 26/11/2019 09:00:00 CET; Entry closing price: 13229.130000; Exit date: 28/11/2019 10:00:00 CET; Exit closing price: 13240.440000; Loss/profit: -11.310000; Current p&l: -497.160000
 Trade no: 10; Direction: short; Entry date: 04/12/2019 17:00:00 CET; Entry closing price: 13140.570000; Exit date: 09/12/2019 09:00:00 CET; Exit closing price: 13153.710000; Loss/profit: -13.140000; Current p&l: -502.870000
 Trade no: 11; Direction: short; Entry date: 05/12/2019 12:00:00 CET; Entry closing price: 13161.140000; Exit date: 09/12/2019 13:00:00 CET; Exit closing price: 13139.370000; Loss/profit: 21.770000; Current p&l: -488.530000
 Trade no: 12; Direction: short; Entry date: 13/12/2019 10:00:00 CET; Entry closing price: 13386.110000; Exit date: 17/12/2019 11:00:00 CET; Exit closing price: 13297.410000; Loss/profit: 88.700000; Current p&l: -289.580000
 Trade no: 13; Direction: short; Entry date: 16/12/2019 17:00:00 CET; Entry closing price: 13407.660000; Exit date: 19/12/2019 09:00:00 CET; Exit closing price: 13202.640000; Loss/profit: 205.020000; Current p&l: -194.810000
 Trade no: 14; Direction: short; Entry date: 22/01/2020 10:00:00 CET; Entry closing price: 13572.840000; Exit date: 23/01/2020 10:00:00 CET; Exit closing price: 13457.700000; Loss/profit: 115.140000; Current p&l: -79.670000
 Trade no: 15; Direction: long; Entry date: 03/02/2020 09:00:00 CET; Entry closing price: 13031.900000; Exit date: 05/02/2020 10:00:00 CET; Exit closing price: 13464.160000; Loss/profit: 432.260000; Current p&l: 352.590000
 Trade no: 16; Direction: short; Entry date: 11/02/2020 10:00:00 CET; Entry closing price: 13579.890000; Exit date: 13/02/2020 11:00:00 CET; Exit closing price: 13610.850000; Loss/profit: -30.960000; Current p&l: 321.630000
