
 STRATEGY REPORT:
Total positive trades: 37 (6508.380000 points); Total negative trades: 31 (-7440.040000 points);
 Net loss/profit: -931.660000

 Trade no: 0; Direction: short; Entry date: 13/09/2019 17:00:00 CEST; Entry closing price: 12468.530000; Exit date: 18/09/2019 09:00:00 CEST; Exit closing price: 12372.400000; Loss/profit: 96.130000; Current p&l: 96.130000
 Trade no: 1; Direction: short; Entry date: 20/09/2019 17:00:00 CEST; Entry closing price: 12468.010000; Exit date: 23/09/2019 11:00:00 CEST; Exit closing price: 12324.100000; Loss/profit: 143.910000; Current p&l: 240.040000
 Trade no: 2; Direction: short; Entry date: 16/10/2019 17:00:00 CEST; Entry closing price: 12670.110000; Exit date: 21/10/2019 09:00:00 CEST; Exit closing price: 12728.120000; Loss/profit: -58.010000; Current p&l: 182.030000
 Trade no: 3; Direction: short; Entry date: 06/11/2019 10:00:00 CET; Entry closing price: 13120.700000; Exit date: 08/11/2019 11:00:00 CET; Exit closing price: 13268.080000; Loss/profit: -147.380000; Current p&l: -64.330000
 Trade no: 4; Direction: short; Entry date: 06/11/2019 15:00:00 CET; Entry closing price: 13169.100000; Exit date: 08/11/2019 16:00:00 CET; Exit closing price: 13235.530000; Loss/profit: -66.430000; Current p&l: -31.780000
 Trade no: 5; Direction: short; Entry date: 10/01/2020 11:00:00 CET; Entry closing price: 13518.780000; Exit date: 13/01/2020 13:00:00 CET; Exit closing price: 13470.040000; Loss/profit: 48.740000; Current p&l: 59.680000
 Trade no: 6; Direction: short; Entry date: 10/01/2020 16:00:00 CET; Entry closing price: 13512.760000; Exit date: 13/01/2020 13:00:00 CET; Exit closing price: 13470.040000; Loss/profit: 42.720000; Current p&l: 59.680000
 Trade no: 7; Direction: short; Entry date: 10/02/2020 09:00:00 CET; Entry closing price: 13459.310000; Exit date: 12/02/2020 10:00:00 CET; Exit closing price: 13712.030000; Loss/profit: -252.720000; Current p&l: -193.040000
 Trade no: 8; Direction: short; Entry date: 18/02/2020 09:00:00 CET; Entry closing price: 13692.980000; Exit date: 18/02/2020 11:00:00 CET; Exit closing price: 13695.750000; Loss/profit: -2.770000; Current p&l: -195.810000
 Trade no: 9; Direction: long; Entry date: 27/02/2020 12:00:00 CET; Entry closing price: 12497.310000; Exit date: 28/02/2020 09:00:00 CET; Exit closing price: 11865.990000; Loss/profit: -631.320000; Current p&l: -827.130000
 Trade no: 10; Direction: long; Entry date: 02/03/2020 13:00:00 CET; Entry closing price: 11788.020000; Exit date: 03/03/2020 10:00:00 CET; Exit closing price: 12193.000000; Loss/profit: 404.980000; Current p&l: -422.150000
 Trade no: 11; Direction: long; Entry date: 11/03/2020 09:00:00 CET; Entry closing price: 10710.010000; Exit date: 12/03/2020 09:00:00 CET; Exit closing price: 9752.970000; Loss/profit: -957.040000; Current p&l: -2157.620000
 Trade no: 12; Direction: long; Entry date: 11/03/2020 14:00:00 CET; Entry closing price: 10531.400000; Exit date: 12/03/2020 09:00:00 CET; Exit closing price: 9752.970000; Loss/profit: -778.430000; Current p&l: -2157.620000
 Trade no: 13; Direction: short; Entry date: 09/04/2020 16:00:00 CEST; Entry closing price: 10540.080000; Exit date: 15/04/2020 17:00:00 CEST; Exit closing price: 10279.760000; Loss/profit: 260.320000; Current p&l: -1536.160000
 Trade no: 14; Direction: short; Entry date: 14/04/2020 10:00:00 CEST; Entry closing price: 10675.930000; Exit date: 15/04/2020 14:00:00 CEST; Exit closing price: 10314.790000; Loss/profit: 361.140000; Current p&l: -1571.190000
 Trade no: 15; Direction: short; Entry date: 20/05/2020 12:00:00 CEST; Entry closing price: 11106.830000; Exit date: 22/05/2020 10:00:00 CEST; Exit closing price: 10999.580000; Loss/profit: 107.250000; Current p&l: -1428.910000
 Trade no: 16; Direction: short; Entry date: 29/05/2020 09:00:00 CEST; Entry closing price: 11608.180000; Exit date: 02/06/2020 10:00:00 CEST; Exit closing price: 11979.790000; Loss/profit: -371.610000; Current p&l: -1800.520000
 Trade no: 17; Direction: short; Entry date: 05/06/2020 10:00:00 CEST; Entry closing price: 12674.930000; Exit date: 09/06/2020 11:00:00 CEST; Exit closing price: 12568.720000; Loss/profit: 106.210000; Current p&l: -1694.310000
 Trade no: 18; Direction: short; Entry date: 17/06/2020 13:00:00 CEST; Entry closing price: 12376.590000; Exit date: 19/06/2020 14:00:00 CEST; Exit closing price: 12422.190000; Loss/profit: -45.600000; Current p&l: -1739.910000
 Trade no: 19; Direction: short; Entry date: 14/07/2020 09:00:00 CEST; Entry closing price: 12571.720000; Exit date: 15/07/2020 16:00:00 CEST; Exit closing price: 12978.550000; Loss/profit: -406.830000; Current p&l: -2146.740000
 Trade no: 20; Direction: long; Entry date: 27/07/2020 15:00:00 CEST; Entry closing price: 12849.060000; Exit date: 29/07/2020 16:00:00 CEST; Exit closing price: 12822.740000; Loss/profit: -26.320000; Current p&l: -2148.830000
 Trade no: 21; Direction: long; Entry date: 28/07/2020 14:00:00 CEST; Entry closing price: 12798.510000; Exit date: 30/07/2020 14:00:00 CEST; Exit closing price: 12409.160000; Loss/profit: -389.350000; Current p&l: -2562.410000
 Trade no: 22; Direction: long; Entry date: 30/10/2020 16:00:00 CET; Entry closing price: 11548.470000; Exit date: 02/11/2020 12:00:00 CET; Exit closing price: 11779.710000; Loss/profit: 231.240000; Current p&l: -2331.170000
 Trade no: 23; Direction: short; Entry date: 09/11/2020 10:00:00 CET; Entry closing price: 12698.710000; Exit date: 09/11/2020 12:00:00 CET; Exit closing price: 13113.700000; Loss/profit: -414.990000; Current p&l: -2746.160000
 Trade no: 24; Direction: short; Entry date: 11/11/2020 12:00:00 CET; Entry closing price: 13216.460000; Exit date: 13/11/2020 13:00:00 CET; Exit closing price: 13065.320000; Loss/profit: 151.140000; Current p&l: -2290.830000
 Trade no: 25; Direction: short; Entry date: 11/11/2020 14:00:00 CET; Entry closing price: 13218.650000; Exit date: 13/11/2020 15:00:00 CET; Exit closing price: 13114.550000; Loss/profit: 104.100000; Current p&l: -2389.290000
 Trade no: 26; Direction: short; Entry date: 11/11/2020 17:00:00 CET; Entry closing price: 13216.180000; Exit date: 16/11/2020 09:00:00 CET; Exit closing price: 13113.250000; Loss/profit: 102.930000; Current p&l: -2387.990000
 Trade no: 27; Direction: long; Entry date: 04/12/2020 13:00:00 CET; Entry closing price: 13246.610000; Exit date: 08/12/2020 14:00:00 CET; Exit closing price: 13248.760000; Loss/profit: 2.150000; Current p&l: -2385.840000
 Trade no: 28; Direction: short; Entry date: 18/12/2020 10:00:00 CET; Entry closing price: 13698.410000; Exit date: 21/12/2020 10:00:00 CET; Exit closing price: 13263.300000; Loss/profit: 435.110000; Current p&l: -1535.260000
 Trade no: 29; Direction: short; Entry date: 18/12/2020 15:00:00 CET; Entry closing price: 13678.770000; Exit date: 21/12/2020 10:00:00 CET; Exit closing price: 13263.300000; Loss/profit: 415.470000; Current p&l: -1535.260000
 Trade no: 30; Direction: short; Entry date: 08/02/2021 15:00:00 CET; Entry closing price: 14128.420000; Exit date: 09/02/2021 11:00:00 CET; Exit closing price: 13983.080000; Loss/profit: 145.340000; Current p&l: -1389.920000
