"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","291.85","291.76","292.97","290.05","74.33M","-1.67%"
"02/23/2023","296.82","297.97","298.13","292.55","68.51M","0.87%"
"02/22/2023","294.25","294.62","296.36","292.56","50.28M","0.07%"
"02/21/2023","294.03","297.26","298.73","293.89","46.21M","-2.37%"
"02/17/2023","301.16","301.07","301.93","298.10","58.23M","-0.71%"
"02/16/2023","303.30","304.38","308.43","303.15","58.54M","-1.88%"
"02/15/2023","309.10","304.90","309.27","304.20","42.71M","0.77%"
"02/14/2023","306.75","302.89","307.72","300.91","63.30M","0.74%"
"02/13/2023","304.50","301.13","305.10","299.93","39.32M","1.60%"
"02/10/2023","299.70","299.48","301.57","297.25","50.05M","-0.66%"
"02/09/2023","301.68","308.84","308.99","300.20","48.43M","-0.88%"
"02/08/2023","304.37","308.54","309.50","303.67","56.24M","-1.78%"
"02/07/2023","309.88","303.46","311.03","302.32","66.96M","2.07%"
"02/06/2023","303.59","303.51","305.91","302.22","40.80M","-0.85%"
"02/03/2023","306.18","304.94","312.39","304.54","76.17M","-1.78%"
"02/02/2023","311.72","307.57","313.68","306.73","80.45M","3.59%"
"02/01/2023","300.92","294.41","303.43","292.30","66.07M","2.14%"
"01/31/2023","294.62","290.31","294.72","290.20","46.10M","1.50%"
"01/30/2023","290.27","292.93","294.38","289.89","49.41M","-2.02%"
"01/27/2023","296.26","292.00","298.26","291.88","56.44M","1.00%"
"01/26/2023","293.34","291.22","293.52","288.52","51.03M","1.95%"
"01/25/2023","287.73","283.77","288.36","281.18","50.87M","-0.22%"
"01/24/2023","288.37","287.31","289.55","286.78","41.72M","-0.20%"
"01/23/2023","288.96","283.54","290.21","282.73","52.42M","2.22%"
"01/20/2023","282.68","276.79","283.02","275.71","60.61M","2.74%"
"01/19/2023","275.15","276.22","277.38","273.89","43.47M","-0.98%"
"01/18/2023","277.88","283.11","284.69","277.67","46.98M","-1.30%"
"01/17/2023","281.54","280.77","282.85","279.58","35.88M","0.20%"
"01/13/2023","280.97","276.50","281.22","276.16","44.80M","0.69%"
"01/12/2023","279.05","278.12","280.10","273.74","60.15M","0.54%"
"01/11/2023","277.55","273.92","277.66","273.12","43.46M","1.73%"
"01/10/2023","272.83","269.49","272.94","268.97","34.83M","0.85%"
"01/09/2023","270.54","270.83","275.29","269.92","45.16M","0.65%"
"01/06/2023","268.80","263.35","269.94","260.34","54.66M","2.76%"
"01/05/2023","261.58","264.04","264.21","261.26","45.40M","-1.57%"
"01/04/2023","265.74","266.64","267.45","262.53","47.07M","0.48%"
"01/03/2023","264.48","268.65","270.15","262.13","41.91M","-0.68%"
"12/30/2022","266.28","263.62","266.41","262.29","37.86M","-0.06%"
"12/29/2022","266.44","262.96","267.40","262.25","45.56M","2.44%"
"12/28/2022","260.10","263.17","265.47","259.73","45.51M","-1.32%"
"12/27/2022","263.58","266.74","266.85","263.03","37.76M","-1.41%"
"12/23/2022","267.36","265.47","268.04","263.53","39.37M","0.22%"
"12/22/2022","266.76","270.38","270.51","262.45","59.13M","-2.45%"
"12/21/2022","273.45","270.60","274.78","269.74","44.60M","1.45%"
"12/20/2022","269.54","268.56","271.32","266.95","49.70M","-0.08%"
"12/19/2022","269.75","273.87","273.96","268.49","43.35M","-1.64%"
"12/16/2022","274.25","276.20","277.77","272.61","68.30M","-0.95%"
"12/15/2022","276.89","282.33","283.01","275.67","59.48M","-3.36%"
"12/14/2022","286.51","288.05","291.41","283.19","63.74M","-0.74%"
"12/13/2022","288.65","296.65","296.88","285.91","79.70M","1.08%"
"12/12/2022","285.58","282.22","285.64","281.16","35.21M","1.26%"
"12/09/2022","282.04","282.81","285.64","281.59","47.86M","-0.64%"
"12/08/2022","283.85","281.91","284.84","279.79","42.27M","1.18%"
"12/07/2022","280.53","280.47","282.57","278.78","44.42M","-0.41%"
"12/06/2022","281.68","287.48","287.62","280.26","53.94M","-2.07%"
"12/05/2022","287.64","290.38","291.68","286.15","40.12M","-1.68%"
"12/02/2022","292.55","288.54","293.45","288.36","53.58M","-0.40%"
"12/01/2022","293.72","293.69","295.75","290.88","51.55M","0.12%"
"11/30/2022","293.36","280.84","293.47","279.97","74.72M","4.56%"
"11/29/2022","280.57","282.94","283.35","279.17","35.62M","-0.76%"
"11/28/2022","282.71","284.90","286.96","281.76","38.88M","-1.47%"
"11/25/2022","286.92","287.19","287.91","286.42","15.50M","-0.66%"
"11/23/2022","288.82","285.97","289.46","285.79","46.39M","1.00%"
"11/22/2022","285.95","282.64","286.11","280.46","41.87M","1.44%"
"11/21/2022","281.89","283.40","284.58","281.04","40.08M","-1.03%"
"11/18/2022","284.82","287.89","287.99","282.32","53.59M","0.00%"
"11/17/2022","284.81","280.88","286.32","280.72","55.46M","-0.22%"
"11/16/2022","285.44","287.39","289.48","284.60","48.86M","-1.36%"
"11/15/2022","289.39","292.21","293.26","285.97","73.99M","1.38%"
"11/14/2022","285.44","285.86","289.21","284.44","55.08M","-0.88%"
"11/11/2022","287.96","282.56","288.64","281.19","66.96M","1.84%"
"11/10/2022","282.75","276.01","283.05","273.85","99.26M","7.38%"
"11/09/2022","263.32","267.76","268.56","263.03","64.86M","-2.31%"
"11/08/2022","269.54","269.14","272.85","265.52","63.21M","0.73%"
"11/07/2022","267.59","265.75","268.14","263.57","47.33M","1.10%"
"11/04/2022","264.68","265.53","266.61","259.08","78.31M","1.61%"
"11/03/2022","260.49","263.01","264.50","260.10","70.04M","-1.95%"
"11/02/2022","265.68","275.08","278.21","265.61","79.80M","-3.43%"
"11/01/2022","275.11","281.49","282.07","274.74","45.90M","-1.02%"
"10/31/2022","277.95","278.92","279.76","275.99","47.74M","-1.16%"
"10/28/2022","281.22","272.23","281.70","272.06","62.65M","3.06%"
"10/27/2022","272.87","276.79","278.28","272.34","57.76M","-1.82%"
"10/26/2022","277.93","278.46","283.98","277.43","63.90M","-2.21%"
"10/25/2022","284.21","279.41","284.60","277.90","59.01M","2.07%"
