28/06/2005 00:00:00 
29/06/2005 00:00:00 CEST
30/06/2005 00:00:00 CEST
01/07/2005 00:00:00 CEST
04/07/2005 00:00:00 CEST
05/07/2005 00:00:00 CEST
06/07/2005 00:00:00 CEST
07/07/2005 00:00:00 CEST
08/07/2005 00:00:00 CEST
11/07/2005 00:00:00 CEST
12/07/2005 00:00:00 CEST
13/07/2005 00:00:00 CEST
14/07/2005 00:00:00 CEST
15/07/2005 00:00:00 CEST
18/07/2005 00:00:00 CEST
19/07/2005 00:00:00 CEST
20/07/2005 00:00:00 CEST
21/07/2005 00:00:00 CEST
22/07/2005 00:00:00 CEST
25/07/2005 00:00:00 CEST
26/07/2005 00:00:00 CEST
27/07/2005 00:00:00 CEST
28/07/2005 00:00:00 CEST
29/07/2005 00:00:00 CEST
01/08/2005 00:00:00 CEST
02/08/2005 00:00:00 CEST
03/08/2005 00:00:00 CEST
04/08/2005 00:00:00 CEST
05/08/2005 00:00:00 CEST
08/08/2005 00:00:00 CEST
09/08/2005 00:00:00 CEST
10/08/2005 00:00:00 CEST
11/08/2005 00:00:00 CEST
12/08/2005 00:00:00 CEST
15/08/2005 00:00:00 CEST
16/08/2005 00:00:00 CEST
17/08/2005 00:00:00 CEST
18/08/2005 00:00:00 CEST
19/08/2005 00:00:00 CEST
22/08/2005 00:00:00 CEST
23/08/2005 00:00:00 CEST
24/08/2005 00:00:00 CEST
25/08/2005 00:00:00 CEST
26/08/2005 00:00:00 CEST
29/08/2005 00:00:00 CEST
30/08/2005 00:00:00 CEST
31/08/2005 00:00:00 CEST
01/09/2005 00:00:00 CEST
02/09/2005 00:00:00 CEST
05/09/2005 00:00:00 CEST
06/09/2005 00:00:00 CEST
07/09/2005 00:00:00 CEST
08/09/2005 00:00:00 CEST
09/09/2005 00:00:00 CEST
12/09/2005 00:00:00 CEST
13/09/2005 00:00:00 CEST
14/09/2005 00:00:00 CEST
15/09/2005 00:00:00 CEST
16/09/2005 00:00:00 CEST
19/09/2005 00:00:00 CEST
20/09/2005 00:00:00 CEST
21/09/2005 00:00:00 CEST
22/09/2005 00:00:00 CEST
23/09/2005 00:00:00 CEST
26/09/2005 00:00:00 CEST
27/09/2005 00:00:00 CEST
28/09/2005 00:00:00 CEST
29/09/2005 00:00:00 CEST
30/09/2005 00:00:00 CEST
03/10/2005 00:00:00 CEST
04/10/2005 00:00:00 CEST
05/10/2005 00:00:00 CEST
06/10/2005 00:00:00 CEST
07/10/2005 00:00:00 CEST
10/10/2005 00:00:00 CEST
11/10/2005 00:00:00 CEST
12/10/2005 00:00:00 CEST
13/10/2005 00:00:00 CEST
14/10/2005 00:00:00 CEST
17/10/2005 00:00:00 CEST
18/10/2005 00:00:00 CEST
19/10/2005 00:00:00 CEST
20/10/2005 00:00:00 CEST
21/10/2005 00:00:00 CEST
24/10/2005 00:00:00 CEST
25/10/2005 00:00:00 CEST
26/10/2005 00:00:00 CEST
27/10/2005 00:00:00 CEST
28/10/2005 00:00:00 CEST
31/10/2005 00:00:00 CET
01/11/2005 00:00:00 CET
02/11/2005 00:00:00 CET
03/11/2005 00:00:00 CET
04/11/2005 00:00:00 CET
07/11/2005 00:00:00 CET
08/11/2005 00:00:00 CET
09/11/2005 00:00:00 CET
10/11/2005 00:00:00 CET
11/11/2005 00:00:00 CET
14/11/2005 00:00:00 CET
15/11/2005 00:00:00 CET
