Date	Open	High	Low	Close
2023-04-06	15530,20	15599,57	15509,09	15562,86
2023-04-05	15611,68	15627,29	15482,88	15520,17
2023-04-04	15639,02	15736,56	15601,40	15603,47
2023-04-03	15623,45	15659,35	15553,90	15580,92
2023-03-31	15568,37	15659,06	15499,84	15628,84
2023-03-30	15429,38	15536,42	15424,69	15522,40
2023-03-29	15242,52	15342,27	15186,75	15328,78
2023-03-28	15255,93	15261,49	15103,76	15142,02
2023-03-27	15133,68	15185,35	15020,07	15127,68
2023-03-24	15135,50	15135,65	14809,82	14957,23
2023-03-23	15178,25	15244,32	15078,72	15210,39
2023-03-22	15174,67	15298,49	15166,95	15216,19
2023-03-21	15062,06	15253,10	15055,93	15195,34
2023-03-20	14715,40	14980,43	14458,39	14933,38
2023-03-17	15073,76	15153,11	14694,26	14768,20
2023-03-16	14973,84	15018,31	14664,17	14967,10
2023-03-15	15175,44	15246,17	14702,91	14735,26
2023-03-14	15016,53	15272,11	14951,71	15232,83
2023-03-13	15435,16	15435,81	14887,44	14959,47
2023-03-10	15369,67	15495,87	15316,38	15427,97
2023-03-09	15619,75	15667,05	15535,13	15633,21
2023-03-08	15528,81	15667,21	15524,85	15631,87
2023-03-07	15638,44	15706,37	15544,07	15559,53
2023-03-06	15597,90	15677,93	15587,78	15653,58
2023-03-03	15430,66	15590,44	15409,99	15578,39
2023-03-02	15171,07	15329,29	15150,67	15327,64
2023-03-01	15399,91	15478,84	15254,11	15305,02
2023-02-28	15299,79	15443,17	15289,43	15365,14
2023-02-27	15351,63	15481,06	15351,63	15381,43
2023-02-24	15501,82	15530,46	15162,48	15209,74
2023-02-23	15453,29	15552,77	15433,97	15475,69
2023-02-22	15342,60	15408,58	15247,50	15399,89
2023-02-21	15450,62	15470,52	15286,71	15397,62
2023-02-20	15524,16	15532,44	15436,79	15477,55
2023-02-17	15372,06	15514,72	15300,42	15482,00
2023-02-16	15612,43	15634,04	15417,17	15533,64
2023-02-15	15394,44	15520,39	15388,85	15506,34
2023-02-14	15419,00	15526,28	15366,37	15380,56
2023-02-13	15322,06	15409,27	15305,94	15397,34
2023-02-10	15438,94	15487,98	15246,39	15307,98
2023-02-09	15560,15	15658,56	15519,63	15523,42
2023-02-08	15450,67	15486,13	15371,93	15412,05
2023-02-07	15359,59	15363,41	15273,60	15320,88
2023-02-06	15367,04	15406,93	15275,57	15345,91
2023-02-03	15408,40	15476,67	15347,86	15476,43
2023-02-02	15275,00	15520,97	15264,31	15509,19
2023-02-01	15125,12	15222,34	15107,83	15180,74
2023-01-31	15081,17	15136,22	14993,59	15128,27
2023-01-30	15070,30	15161,07	14988,98	15126,08
2023-01-27	15115,75	15186,49	15077,62	15150,03
2023-01-26	15146,29	15151,54	15068,72	15132,85
2023-01-25	15095,72	15114,41	14969,65	15081,64
2023-01-24	15140,50	15147,45	15022,55	15093,11
2023-01-23	15077,40	15145,90	15022,83	15102,95
2023-01-20	14986,52	15034,43	14940,68	15033,56
2023-01-19	15115,55	15134,07	14906,27	14920,36
2023-01-18	15182,95	15250,36	15156,89	15181,80
2023-01-17	15130,03	15269,71	15083,95	15187,07
2023-01-16	15112,05	15153,19	15083,94	15134,04
2023-01-13	15063,21	15132,37	15041,16	15086,52
2023-01-12	14972,28	15095,03	14934,51	15058,30
2023-01-11	14805,40	14965,47	14794,99	14947,91
2023-01-10	14741,97	14790,82	14692,74	14774,60
2023-01-09	14650,73	14832,89	14628,61	14792,83
2023-01-06	14476,72	14610,23	14388,98	14610,02
2023-01-05	14451,23	14501,60	14403,73	14436,31
2023-01-04	14266,98	14492,78	14264,60	14490,78
