	LOG INITIATED AT: Thu Jul 27 11:10:58 2023

Next Valid Id: 533
Error. Id: -1, Code: 2104, Msg: Market data farm connection is OK:eufarmnj
Error. Id: -1, Code: 2104, Msg: Market data farm connection is OK:usfarm
Error. Id: -1, Code: 2106, Msg: HMDS data farm connection is OK:euhmds
Error. Id: -1, Code: 2106, Msg: HMDS data farm connection is OK:cashhmds
Error. Id: -1, Code: 2106, Msg: HMDS data farm connection is OK:ushmds
Error. Id: -1, Code: 2158, Msg: Sec-def data farm connection is OK:secdefil
RealTimeBars. 301 - Time: 1690449060, Open: 16279.47, High: 16279.85, Low: 16279.47, Close: 16279.69, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449065, Open: 16279.73, High: 16280.63, Low: 16279.73, Close: 16280.28, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449070, Open: 16280.65, High: 16281.47, Low: 16280.56, Close: 16281.47, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449075, Open: 16280.95, High: 16280.96, Low: 16280.68, Close: 16280.96, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449080, Open: 16280.78, High: 16280.96, Low: 16280.56, Close: 16280.56, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449085, Open: 16280.85, High: 16280.85, Low: 16280.43, Close: 16280.48, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449090, Open: 16280.38, High: 16280.38, Low: 16280.38, Close: 16280.38, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449095, Open: 16280.95, High: 16281.48, Low: 16280.95, Close: 16281.48, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449100, Open: 16281.57, High: 16282.41, Low: 16281.57, Close: 16282.41, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449105, Open: 16282.36, High: 16282.36, Low: 16281.9, Close: 16281.9, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449110, Open: 16281.96, High: 16281.96, Low: 16281.96, Close: 16281.96, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449115, Open: 16282.05, High: 16282.18, Low: 16282.05, Close: 16282.18, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449120, Open: 16282.15, High: 16282.18, Low: 16282.1, Close: 16282.15, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449125, Open: 16282.23, High: 16282.29, Low: 16281.72, Close: 16281.72, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449130, Open: 16281.66, High: 16282.45, Low: 16281.66, Close: 16282.45, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449135, Open: 16282.72, High: 16282.72, Low: 16282.53, Close: 16282.53, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449140, Open: 16282.49, High: 16282.49, Low: 16282.49, Close: 16282.49, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449145, Open: 16282.86, High: 16283.2, Low: 16282.86, Close: 16283.2, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449150, Open: 16283.49, High: 16284.08, Low: 16283.49, Close: 16284.08, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449155, Open: 16283.8, High: 16284.1, Low: 16283.78, Close: 16283.85, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449160, Open: 16283.52, High: 16283.59, Low: 16283.46, Close: 16283.59, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449165, Open: 16283.44, High: 16283.52, Low: 16283.25, Close: 16283.25, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449170, Open: 16283.43, High: 16283.65, Low: 16283.43, Close: 16283.56, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449175, Open: 16283.48, High: 16283.53, Low: 16283.48, Close: 16283.52, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449180, Open: 16284.06, High: 16284.06, Low: 16283.64, Close: 16283.64, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449185, Open: 16283.7, High: 16284.89, Low: 16283.7, Close: 16284.89, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449190, Open: 16284.53, High: 16285.09, Low: 16284.38, Close: 16285.09, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449195, Open: 16285.18, High: 16285.18, Low: 16284.35, Close: 16284.35, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449200, Open: 16284.48, High: 16284.48, Low: 16284.39, Close: 16284.41, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449205, Open: 16285.02, High: 16285.02, Low: 16284.53, Close: 16284.53, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449210, Open: 16284.38, High: 16284.63, Low: 16284.38, Close: 16284.63, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449215, Open: 16284.07, High: 16284.07, Low: 16283.43, Close: 16283.43, Volume: 0, Count: 0, WAP: 0
RealTimeBars. 301 - Time: 1690449220, Open: 16283.53, High: 16283.54, Low: 16283.35, Close: 16283.35, Volume: 0, Count: 0, WAP: 0
